recency,spend_6m,career_focus,hobby_focus,career_stage,new_user,platform,campaign_group,platform_visit,conversion,spend_next_14d
3,714.077,1,0,Career switch,1,Multichannel,Control,0,0,0.0
9,658.879,1,0,Early career,1,Multichannel,Career,0,0,0.0
3,187.109,0,1,Career switch,0,Mobile,Hobby,0,0,0.0
10,150.02,1,0,Mid/senior professional,0,Mobile,Career,0,0,0.0
2,125.983,1,0,Career switch,0,Mobile,Hobby,0,0,0.0
6,52.091,1,0,Career switch,1,Mobile,Career,0,0,0.0
11,542.373,0,1,Mid/senior professional,0,Mobile,Control,0,0,0.0
9,80.041,1,0,Career switch,1,Mobile,Hobby,0,0,0.0
5,288.691,0,1,Career switch,0,Mobile,Hobby,0,0,0.0
1,337.88300000000004,0,1,Career switch,1,Desktop,Control,0,0,0.0
11,69.953,1,0,Mid/senior professional,1,Mobile,Control,0,0,0.0
9,200.395,0,1,Career switch,0,Desktop,Career,0,0,0.0
10,1312.2720000000002,1,0,Career switch,1,Multichannel,Hobby,0,0,0.0
2,362.44000000000005,1,0,Early career,0,Desktop,Career,0,0,0.0
10,40.456,1,0,Mid/senior professional,0,Mobile,Hobby,0,0,0.0
2,557.3620000000001,1,0,Early career,0,Mobile,Career,0,0,0.0
7,795.9639999999999,1,0,Career switch,1,Mobile,Hobby,0,0,0.0
11,296.517,0,1,Career switch,1,Desktop,Control,0,0,0.0
1,832.7540000000001,0,1,Mid/senior professional,1,Mobile,Career,0,0,0.0
4,252.34300000000002,1,0,Mid/senior professional,0,Mobile,Control,0,0,0.0
7,109.837,0,1,Mid/senior professional,1,Desktop,Control,0,0,0.0
7,305.682,0,1,Mid/senior professional,1,Mobile,Career,0,0,0.0
2,38.987,0,1,Career switch,0,Mobile,Career,0,0,0.0
7,354.016,1,0,Career switch,1,Desktop,Career,0,0,0.0
2,123.929,0,1,Career switch,0,Desktop,Control,1,0,0.0
5,642.538,1,1,Career switch,1,Mobile,Career,0,0,0.0
2,1051.7910000000002,1,0,Mid/senior professional,1,Mobile,Career,0,0,0.0
1,104.546,0,1,Mid/senior professional,1,Mobile,Hobby,0,0,0.0
10,309.205,1,0,Mid/senior professional,0,Desktop,Hobby,0,0,0.0
2,107.367,1,0,Career switch,0,Mobile,Hobby,0,0,0.0
6,215.50100000000003,0,1,Mid/senior professional,0,Desktop,Hobby,1,0,0.0
3,132.09300000000002,0,1,Career switch,1,Mobile,Control,0,0,0.0
8,68.432,0,1,Career switch,1,Desktop,Control,0,0,0.0
6,606.177,1,0,Mid/senior professional,1,Multichannel,Career,0,0,0.0
3,131.105,1,0,Mid/senior professional,1,Mobile,Career,0,0,0.0
3,1816.841,1,0,Career switch,1,Multichannel,Career,0,0,0.0
2,1001.7540000000001,0,1,Career switch,1,Mobile,Career,0,0,0.0
3,2566.031,1,0,Career switch,1,Multichannel,Control,0,0,0.0
3,173.563,1,0,Mid/senior professional,0,Desktop,Career,0,0,0.0
8,40.976,0,1,Career switch,0,Desktop,Career,0,0,0.0
1,61.672,0,1,Mid/senior professional,0,Mobile,Hobby,0,0,0.0
1,138.151,0,1,Career switch,0,Desktop,Hobby,0,0,0.0
11,280.098,0,1,Mid/senior professional,0,Desktop,Hobby,0,0,0.0
11,246.025,0,1,Mid/senior professional,1,Mobile,Control,0,0,0.0
10,140.556,1,0,Mid/senior professional,0,Desktop,Hobby,0,0,0.0
8,85.982,1,0,Career switch,1,Mobile,Control,0,0,0.0
8,128.12800000000001,1,0,Career switch,1,Desktop,Hobby,0,0,0.0
6,167.88199999999998,1,0,Career switch,0,Desktop,Hobby,0,0,0.0
2,641.1210000000001,0,1,Career switch,0,Desktop,Hobby,0,0,0.0
11,189.852,0,1,Career switch,1,Mobile,Career,0,0,0.0
12,38.987,0,1,Mid/senior professional,1,Desktop,Control,0,0,0.0
2,86.58,1,0,Mid/senior professional,1,Mobile,Hobby,0,0,0.0
12,168.649,1,0,Career switch,0,Desktop,Hobby,0,0,0.0
4,70.733,0,1,Mid/senior professional,1,Mobile,Hobby,0,0,0.0
9,1524.1460000000002,1,1,Career switch,1,Desktop,Career,0,0,0.0
5,317.642,0,1,Mid/senior professional,1,Desktop,Career,0,0,0.0
2,373.15200000000004,1,1,Mid/senior professional,1,Mobile,Hobby,0,0,0.0
4,38.987,0,1,Mid/senior professional,1,Desktop,Hobby,0,0,0.0
9,196.313,1,0,Career switch,0,Desktop,Control,0,0,0.0
11,46.059000000000005,1,0,Mid/senior professional,1,Mobile,Career,0,0,0.0
5,109.421,1,0,Mid/senior professional,1,Desktop,Hobby,0,0,0.0
3,407.68000000000006,0,1,Career switch,0,Mobile,Control,0,0,0.0
1,152.451,0,1,Early career,0,Mobile,Career,0,0,0.0
5,38.987,0,1,Career switch,0,Desktop,Control,0,0,0.0
3,1518.3090000000002,1,1,Early career,1,Desktop,Hobby,0,0,0.0
3,888.1600000000001,1,1,Early career,1,Multichannel,Control,0,0,0.0
1,143.091,0,1,Mid/senior professional,0,Desktop,Career,0,0,0.0
1,133.822,1,0,Mid/senior professional,0,Desktop,Hobby,0,0,0.0
2,38.987,0,1,Mid/senior professional,0,Desktop,Career,0,0,0.0
11,208.052,1,0,Early career,0,Desktop,Career,0,0,0.0
1,544.284,0,1,Career switch,0,Desktop,Control,0,0,0.0
11,411.09900000000005,1,0,Mid/senior professional,1,Mobile,Career,0,0,0.0
12,328.978,0,1,Career switch,0,Mobile,Hobby,0,0,0.0
9,428.948,0,1,Career switch,1,Mobile,Control,0,0,0.0
7,241.44899999999998,1,0,Career switch,0,Mobile,Career,0,0,0.0
11,67.704,0,1,Mid/senior professional,0,Desktop,Hobby,0,0,0.0
1,801.749,0,1,Mid/senior professional,1,Desktop,Career,0,0,0.0
9,160.407,1,0,Mid/senior professional,0,Mobile,Hobby,0,0,0.0
3,324.62300000000005,1,0,Career switch,0,Mobile,Control,0,0,0.0
2,59.91700000000001,0,1,Mid/senior professional,0,Desktop,Control,0,0,0.0
8,63.531,1,0,Career switch,1,Desktop,Career,0,0,0.0
10,100.581,1,0,Career switch,0,Mobile,Hobby,0,0,0.0
4,351.312,1,0,Mid/senior professional,1,Mobile,Control,0,0,0.0
9,297.44,1,0,Career switch,0,Multichannel,Career,1,0,0.0
3,104.23400000000001,0,1,Mid/senior professional,0,Mobile,Hobby,0,0,0.0
11,171.28799999999998,0,1,Career switch,1,Desktop,Hobby,1,0,0.0
9,211.36700000000002,0,1,Mid/senior professional,0,Mobile,Career,1,0,0.0
12,113.906,1,0,Mid/senior professional,1,Mobile,Career,0,0,0.0
3,38.987,1,0,Career switch,0,Mobile,Career,0,0,0.0
3,38.987,0,1,Mid/senior professional,0,Desktop,Hobby,0,0,0.0
7,77.94800000000001,1,0,Mid/senior professional,1,Desktop,Hobby,0,0,0.0
7,102.03699999999999,0,1,Early career,0,Desktop,Hobby,0,0,0.0
2,38.987,0,1,Career switch,0,Mobile,Career,0,0,0.0
7,268.84000000000003,1,0,Career switch,0,Mobile,Hobby,0,0,0.0
7,298.389,1,0,Career switch,0,Desktop,Career,1,0,0.0
1,571.909,1,1,Early career,1,Multichannel,Control,0,0,0.0
10,407.771,1,0,Early career,1,Mobile,Hobby,1,0,0.0
7,38.987,1,0,Career switch,1,Desktop,Hobby,0,0,0.0
3,74.529,0,1,Career switch,0,Desktop,Hobby,1,0,0.0
2,376.415,0,1,Early career,0,Mobile,Control,1,0,0.0
5,38.987,0,1,Career switch,1,Mobile,Career,1,0,0.0
9,356.57700000000006,1,0,Career switch,0,Desktop,Control,0,0,0.0
1,381.38100000000003,1,0,Career switch,0,Mobile,Control,0,0,0.0
12,38.987,1,0,Mid/senior professional,1,Mobile,Control,0,0,0.0
1,529.217,1,0,Career switch,0,Desktop,Control,0,0,0.0
1,185.12,0,1,Career switch,0,Mobile,Control,0,0,0.0
1,38.987,0,1,Mid/senior professional,1,Desktop,Career,0,0,0.0
12,369.90200000000004,1,1,Career switch,0,Desktop,Career,0,0,0.0
2,78.26,0,1,Career switch,1,Desktop,Control,0,0,0.0
4,1416.701,1,0,Mid/senior professional,1,Multichannel,Career,0,0,0.0
7,38.987,1,0,Career switch,1,Desktop,Hobby,0,0,0.0
1,971.5029999999999,0,1,Early career,1,Desktop,Hobby,0,0,0.0
6,177.619,1,0,Mid/senior professional,1,Desktop,Hobby,0,0,0.0
10,38.987,1,0,Early career,1,Desktop,Hobby,0,0,0.0
11,70.343,1,0,Mid/senior professional,1,Desktop,Hobby,0,0,0.0
1,1027.468,1,1,Mid/senior professional,1,Multichannel,Career,0,0,0.0
4,47.437000000000005,1,0,Mid/senior professional,1,Desktop,Control,0,0,0.0
12,353.457,1,0,Early career,0,Desktop,Career,0,0,0.0
5,519.298,1,0,Career switch,0,Desktop,Hobby,0,0,0.0
3,51.778999999999996,0,1,Mid/senior professional,1,Mobile,Career,1,0,0.0
10,199.65400000000002,1,0,Career switch,0,Mobile,Hobby,0,0,0.0
5,350.987,1,1,Career switch,0,Mobile,Career,0,0,0.0
2,38.987,1,0,Mid/senior professional,1,Desktop,Hobby,0,0,0.0
4,380.39300000000003,1,0,Career switch,0,Multichannel,Control,0,0,0.0
2,748.826,0,1,Career switch,1,Desktop,Hobby,0,0,0.0
6,38.987,1,0,Career switch,0,Desktop,Control,0,0,0.0
9,151.19,1,0,Early career,1,Desktop,Career,1,0,0.0
5,38.987,1,0,Career switch,0,Desktop,Control,0,0,0.0
3,38.987,0,1,Mid/senior professional,1,Desktop,Control,0,0,0.0
7,1259.2450000000001,1,1,Career switch,1,Desktop,Hobby,0,0,0.0
7,51.714000000000006,0,1,Career switch,0,Desktop,Career,0,0,0.0
9,405.353,1,0,Mid/senior professional,0,Multichannel,Hobby,1,0,0.0
1,936.221,1,1,Mid/senior professional,1,Mobile,Career,0,0,0.0
4,89.804,0,1,Mid/senior professional,0,Mobile,Career,0,0,0.0
12,104.72800000000001,1,0,Mid/senior professional,0,Desktop,Hobby,0,0,0.0
1,391.547,1,0,Career switch,1,Desktop,Control,0,0,0.0
10,399.932,0,1,Mid/senior professional,0,Multichannel,Career,0,0,0.0
7,626.028,1,0,Career switch,0,Desktop,Career,0,0,0.0
10,38.987,0,1,Career switch,0,Desktop,Control,0,0,0.0
1,1164.059,0,1,Career switch,1,Desktop,Hobby,0,0,0.0
5,552.63,1,0,Early career,1,Mobile,Career,0,0,0.0
10,47.164,1,0,Mid/senior professional,1,Desktop,Control,0,0,0.0
4,537.498,0,1,Early career,0,Mobile,Hobby,0,0,0.0
7,42.146,1,0,Career switch,0,Mobile,Control,0,0,0.0
10,221.416,1,0,Mid/senior professional,1,Mobile,Hobby,0,0,0.0
1,196.209,1,0,Career switch,0,Desktop,Control,0,0,0.0
11,290.407,1,0,Early career,1,Mobile,Hobby,0,0,0.0
1,658.463,1,0,Mid/senior professional,1,Multichannel,Control,0,0,0.0
8,748.306,1,1,Mid/senior professional,1,Multichannel,Career,0,0,0.0
3,38.987,0,1,Career switch,0,Desktop,Hobby,1,0,0.0
2,189.488,0,1,Career switch,1,Desktop,Control,1,0,0.0
1,38.987,1,0,Early career,1,Mobile,Hobby,0,0,0.0
8,556.4,1,0,Career switch,1,Multichannel,Control,0,0,0.0
6,785.707,1,1,Mid/senior professional,1,Mobile,Control,0,0,0.0
8,223.444,1,0,Career switch,0,Mobile,Control,0,0,0.0
4,482.11800000000005,0,1,Career switch,0,Multichannel,Hobby,0,0,0.0
8,180.20600000000002,0,1,Mid/senior professional,1,Desktop,Hobby,0,0,0.0
7,38.987,1,0,Career switch,1,Desktop,Career,0,0,0.0
1,272.974,1,0,Career switch,0,Desktop,Control,1,0,0.0
3,215.8,0,1,Mid/senior professional,0,Desktop,Control,0,0,0.0
10,114.88100000000001,0,1,Mid/senior professional,0,Mobile,Hobby,1,1,38.987
8,437.788,0,1,Career switch,0,Mobile,Career,0,0,0.0
1,78.923,0,1,Early career,1,Mobile,Hobby,0,0,0.0
4,463.749,0,1,Career switch,0,Desktop,Control,0,0,0.0
4,67.756,1,0,Mid/senior professional,0,Mobile,Career,0,0,0.0
7,528.71,0,1,Career switch,1,Mobile,Career,0,0,0.0
6,361.153,1,0,Career switch,1,Multichannel,Control,0,0,0.0
1,236.57399999999998,0,1,Mid/senior professional,1,Desktop,Career,0,0,0.0
2,145.769,1,0,Mid/senior professional,1,Desktop,Hobby,0,0,0.0
5,38.987,0,1,Early career,1,Desktop,Control,0,0,0.0
5,571.038,1,0,Career switch,0,Multichannel,Hobby,0,0,0.0
8,83.408,0,1,Career switch,0,Desktop,Hobby,0,0,0.0
5,38.987,0,1,Career switch,0,Desktop,Control,1,0,0.0
6,38.987,0,1,Mid/senior professional,1,Desktop,Career,0,0,0.0
2,769.5350000000001,0,1,Mid/senior professional,1,Multichannel,Hobby,0,0,0.0
8,169.40300000000002,1,0,Career switch,1,Mobile,Control,0,0,0.0
3,84.83800000000001,1,0,Mid/senior professional,0,Desktop,Career,1,0,0.0
10,172.198,1,0,Mid/senior professional,0,Mobile,Hobby,0,0,0.0
4,293.657,1,1,Early career,1,Desktop,Hobby,0,0,0.0
2,150.228,0,1,Career switch,1,Desktop,Control,0,0,0.0
8,136.422,0,1,Mid/senior professional,0,Mobile,Control,0,0,0.0
7,90.272,1,0,Early career,0,Desktop,Career,1,0,0.0
10,61.711,0,1,Career switch,0,Mobile,Hobby,0,0,0.0
1,279.60400000000004,0,1,Career switch,0,Desktop,Hobby,1,0,0.0
2,292.35699999999997,1,1,Mid/senior professional,0,Multichannel,Control,0,0,0.0
9,262.27500000000003,1,1,Career switch,0,Mobile,Hobby,0,0,0.0
5,460.239,1,0,Mid/senior professional,0,Desktop,Career,0,0,0.0
10,196.859,1,0,Mid/senior professional,0,Desktop,Control,0,0,0.0
11,156.18200000000002,1,0,Mid/senior professional,0,Desktop,Career,0,0,0.0
5,207.233,0,1,Career switch,1,Mobile,Hobby,1,0,0.0
5,378.11800000000005,1,0,Mid/senior professional,1,Desktop,Control,0,0,0.0
4,113.36000000000001,0,1,Career switch,1,Mobile,Hobby,1,0,0.0
11,105.378,1,0,Mid/senior professional,0,Desktop,Career,0,0,0.0
10,71.643,1,0,Mid/senior professional,1,Desktop,Career,0,0,0.0
1,667.979,0,1,Career switch,1,Multichannel,Career,0,0,0.0
4,1001.494,0,1,Early career,1,Multichannel,Control,0,0,0.0
1,43.550000000000004,1,0,Career switch,0,Desktop,Career,0,0,0.0
2,73.125,1,0,Career switch,1,Mobile,Career,0,0,0.0
2,1422.0960000000002,1,1,Career switch,1,Desktop,Control,0,0,0.0
1,978.64,1,1,Mid/senior professional,1,Mobile,Control,0,0,0.0
2,259.935,1,0,Career switch,1,Mobile,Control,0,0,0.0
9,311.883,0,1,Early career,0,Mobile,Control,0,0,0.0
8,56.108,0,1,Mid/senior professional,1,Mobile,Control,0,0,0.0
2,544.453,0,1,Career switch,0,Multichannel,Control,0,0,0.0
9,414.07599999999996,0,1,Mid/senior professional,0,Desktop,Hobby,0,0,0.0
1,142.038,0,1,Career switch,1,Desktop,Hobby,1,0,0.0
3,87.62,1,0,Career switch,0,Desktop,Career,0,0,0.0
9,175.526,1,0,Career switch,1,Desktop,Hobby,0,0,0.0
10,70.525,0,1,Career switch,0,Desktop,Career,0,0,0.0
3,71.94200000000001,1,0,Career switch,1,Mobile,Hobby,0,0,0.0
4,387.14000000000004,1,1,Mid/senior professional,0,Mobile,Hobby,1,1,344.05800000000005
4,190.437,0,1,Career switch,0,Mobile,Hobby,0,0,0.0
7,428.038,0,1,Mid/senior professional,0,Desktop,Career,0,0,0.0
1,38.987,1,0,Early career,1,Mobile,Career,0,0,0.0
4,324.49300000000005,0,1,Mid/senior professional,1,Mobile,Hobby,0,0,0.0
5,51.376000000000005,1,0,Career switch,1,Mobile,Career,0,0,0.0
1,399.854,1,0,Career switch,0,Multichannel,Control,0,0,0.0
6,120.01599999999999,0,1,Mid/senior professional,0,Mobile,Career,0,0,0.0
6,603.421,0,1,Career switch,0,Multichannel,Hobby,0,0,0.0
6,38.987,1,0,Career switch,1,Desktop,Hobby,0,0,0.0
2,565.929,0,1,Career switch,0,Desktop,Hobby,0,0,0.0
10,488.66999999999996,0,1,Mid/senior professional,0,Desktop,Career,0,0,0.0
9,38.987,1,0,Mid/senior professional,0,Desktop,Career,0,0,0.0
9,286.663,1,0,Mid/senior professional,0,Multichannel,Career,0,0,0.0
5,234.364,0,1,Career switch,0,Mobile,Hobby,0,0,0.0
6,102.297,0,1,Career switch,0,Mobile,Career,0,0,0.0
2,455.624,1,0,Mid/senior professional,1,Desktop,Hobby,0,0,0.0
3,488.98199999999997,1,0,Career switch,0,Mobile,Control,0,0,0.0
1,233.519,1,0,Career switch,0,Mobile,Career,1,0,0.0
6,213.863,1,0,Career switch,0,Mobile,Hobby,1,0,0.0
8,77.688,0,1,Mid/senior professional,1,Desktop,Career,0,0,0.0
11,38.987,0,1,Career switch,0,Desktop,Hobby,0,0,0.0
2,529.932,0,1,Mid/senior professional,1,Desktop,Hobby,0,0,0.0
1,185.9,0,1,Mid/senior professional,0,Mobile,Hobby,0,0,0.0
4,416.22100000000006,0,1,Mid/senior professional,1,Mobile,Career,0,0,0.0
1,133.99099999999999,1,0,Career switch,0,Desktop,Career,0,0,0.0
10,46.592000000000006,1,0,Mid/senior professional,1,Mobile,Control,0,0,0.0
3,247.858,0,1,Career switch,1,Desktop,Hobby,0,0,0.0
2,118.18299999999999,1,0,Career switch,0,Desktop,Career,0,0,0.0
5,279.539,0,1,Mid/senior professional,1,Desktop,Control,0,0,0.0
1,1113.32,0,1,Mid/senior professional,1,Desktop,Control,0,0,0.0
10,181.77900000000002,1,0,Mid/senior professional,1,Mobile,Career,0,0,0.0
10,318.617,1,0,Mid/senior professional,0,Multichannel,Control,0,0,0.0
6,165.36,0,1,Career switch,0,Mobile,Control,0,0,0.0
1,611.845,1,0,Mid/senior professional,0,Mobile,Career,0,0,0.0
1,76.869,1,0,Mid/senior professional,1,Desktop,Career,0,0,0.0
3,425.23,1,0,Career switch,1,Desktop,Control,0,0,0.0
1,519.6360000000001,1,1,Career switch,0,Mobile,Career,1,0,0.0
3,38.987,1,0,Mid/senior professional,0,Mobile,Control,0,0,0.0
6,517.439,1,1,Career switch,0,Mobile,Control,0,0,0.0
4,174.51200000000003,0,1,Mid/senior professional,0,Desktop,Career,1,0,0.0
10,377.71500000000003,0,1,Career switch,0,Desktop,Career,0,0,0.0
7,38.987,1,0,Career switch,0,Desktop,Control,0,0,0.0
4,113.997,1,0,Career switch,0,Desktop,Career,0,0,0.0
10,436.501,0,1,Early career,0,Multichannel,Hobby,0,0,0.0
12,604.981,0,1,Early career,1,Multichannel,Control,0,0,0.0
12,97.83800000000001,1,0,Mid/senior professional,1,Mobile,Hobby,0,0,0.0
10,425.334,0,1,Mid/senior professional,0,Mobile,Hobby,0,0,0.0
1,245.557,0,1,Career switch,1,Desktop,Control,0,0,0.0
4,64.74,1,0,Mid/senior professional,1,Desktop,Career,0,0,0.0
7,895.063,1,1,Early career,1,Multichannel,Hobby,0,0,0.0
3,298.246,0,1,Early career,0,Multichannel,Control,0,0,0.0
1,329.134,0,1,Career switch,0,Multichannel,Career,0,0,0.0
2,203.32000000000002,0,1,Career switch,0,Desktop,Career,0,0,0.0
2,256.009,0,1,Early career,1,Desktop,Hobby,0,0,0.0
4,724.711,1,0,Mid/senior professional,1,Desktop,Control,0,0,0.0
12,230.958,1,0,Career switch,0,Mobile,Hobby,1,0,0.0
9,38.987,0,1,Career switch,0,Mobile,Hobby,0,0,0.0
11,182.091,0,1,Mid/senior professional,1,Desktop,Career,0,0,0.0
10,218.452,1,0,Mid/senior professional,0,Desktop,Control,0,0,0.0
5,225.745,1,0,Mid/senior professional,0,Desktop,Hobby,0,0,0.0
4,214.10999999999999,1,0,Career switch,0,Mobile,Control,0,0,0.0
2,74.789,1,0,Mid/senior professional,1,Mobile,Control,0,0,0.0
10,38.987,1,0,Mid/senior professional,0,Desktop,Hobby,0,0,0.0
3,244.647,1,0,Mid/senior professional,0,Mobile,Career,1,0,0.0
10,38.987,0,1,Career switch,0,Desktop,Control,1,1,194.06400000000002
1,45.799,1,0,Mid/senior professional,1,Mobile,Career,0,0,0.0
4,82.186,1,0,Career switch,0,Desktop,Hobby,0,0,0.0
4,715.767,1,0,Career switch,1,Desktop,Control,0,0,0.0
6,302.822,1,0,Career switch,1,Multichannel,Career,0,0,0.0
11,118.599,1,0,Mid/senior professional,0,Desktop,Hobby,0,0,0.0
2,742.989,1,0,Early career,1,Multichannel,Hobby,0,0,0.0
1,220.103,0,1,Early career,1,Desktop,Hobby,0,0,0.0
10,267.644,1,0,Mid/senior professional,0,Mobile,Control,0,0,0.0
1,1665.924,1,0,Mid/senior professional,1,Mobile,Career,0,0,0.0
3,38.987,1,0,Mid/senior professional,0,Desktop,Control,1,0,0.0
3,704.808,1,0,Mid/senior professional,1,Mobile,Career,1,0,0.0
7,551.98,0,1,Career switch,1,Mobile,Hobby,0,0,0.0
6,659.4250000000001,0,1,Mid/senior professional,1,Mobile,Career,0,0,0.0
10,38.987,1,0,Early career,0,Desktop,Career,0,0,0.0
2,485.082,0,1,Mid/senior professional,0,Multichannel,Hobby,1,0,0.0
7,78.02600000000001,1,0,Career switch,1,Mobile,Career,0,0,0.0
1,89.05,0,1,Mid/senior professional,0,Mobile,Control,0,0,0.0
11,48.685,0,1,Mid/senior professional,0,Mobile,Control,0,0,0.0
2,49.842000000000006,1,0,Mid/senior professional,0,Desktop,Hobby,0,0,0.0
5,709.4490000000001,1,0,Career switch,1,Multichannel,Hobby,0,0,0.0
4,91.507,0,1,Career switch,1,Desktop,Control,0,0,0.0
6,128.44,0,1,Early career,1,Mobile,Career,1,0,0.0
9,38.987,1,0,Mid/senior professional,0,Desktop,Hobby,0,0,0.0
5,723.45,0,1,Early career,1,Desktop,Career,0,0,0.0
4,38.987,1,0,Mid/senior professional,0,Mobile,Hobby,0,0,0.0
6,177.138,0,1,Early career,1,Desktop,Control,0,0,0.0
2,1217.6190000000001,1,0,Mid/senior professional,1,Mobile,Hobby,0,0,0.0
9,223.78199999999998,0,1,Mid/senior professional,0,Mobile,Career,0,0,0.0
2,264.576,1,1,Mid/senior professional,1,Multichannel,Control,1,0,0.0
1,549.653,0,1,Mid/senior professional,0,Mobile,Hobby,1,0,0.0
10,416.14300000000003,0,1,Early career,0,Desktop,Control,0,0,0.0
12,38.987,0,1,Career switch,0,Mobile,Hobby,0,0,0.0
8,347.425,0,1,Career switch,0,Mobile,Career,0,0,0.0
11,214.37,0,1,Career switch,0,Mobile,Hobby,0,0,0.0
11,345.007,0,1,Career switch,0,Multichannel,Hobby,0,0,0.0
9,967.4860000000001,1,0,Early career,1,Desktop,Control,0,0,0.0
3,129.025,1,0,Career switch,1,Mobile,Control,0,0,0.0
5,81.23700000000001,1,0,Early career,0,Desktop,Control,0,0,0.0
4,94.458,0,1,Career switch,1,Mobile,Career,0,0,0.0
10,433.745,0,1,Career switch,0,Desktop,Control,0,0,0.0
7,442.23400000000004,0,1,Mid/senior professional,0,Mobile,Control,0,0,0.0
4,390.754,0,1,Career switch,1,Desktop,Hobby,0,0,0.0
10,81.41900000000001,0,1,Career switch,1,Mobile,Career,0,0,0.0
10,464.464,0,1,Career switch,0,Desktop,Hobby,0,0,0.0
5,368.615,1,0,Mid/senior professional,1,Mobile,Control,0,0,0.0
9,63.609,1,0,Early career,1,Mobile,Hobby,0,0,0.0
9,70.64200000000001,1,0,Career switch,0,Mobile,Career,1,0,0.0
5,322.166,1,0,Mid/senior professional,0,Mobile,Career,0,0,0.0
