title,description
Senior Account Executive,"Overview

Konica Minolta currently has an exciting opportunity for you to join us as a Senior Account Executive!

Responsibilities

You will seek out new customers and partner with existing ones by offering a variety of solutions to improve their business and take exceptional care of your clients.You will conduct outbound calling every day to set face-to-face appointments, ensuring outstanding customer service though regular follow-ups, reporting regularly to a branch office.You will establish and strengthen relationships with decision makers for current and potential clients.You will learn and demonstrate the benefits of all Konica Minolta products, services and solutions for clients.You will design and present solutions that will help customers’ businesses.You will consistently close sales and achieve monthly activity and revenue goals.

Qualifications

Must have at least four (4) years of business-to-business outside sales experience, selling to clients in the digital imaging solutions or other technology industry.College degree preferred but not requiredA valid driver’s license and reliable transportation is required!You are able to thrive in a dynamic environment; you are driven to succeed and willing to strive to be the best.You bring a high level of energy and are committed to achieve your sales goals.You are tenacious and have a desire to develop and secure new business accounts.You’re passionate about growing your industry knowledge as you build your career.You are personable and enjoy networking at all levels to build business relationships.

About Us

Konica Minolta’s journey started 150 years ago, with a vision to see and do things differently. We innovate for the good of society and the world. The same purpose that kept us moving then, keeps us moving now. Konica Minolta Business Solutions U.S.A., Inc. is reshaping and revolutionizing the workplace to achieve true connectivity through the Intelligent Connected Workplace. The company guides and supports its clients’ digital transformation through its expansive office technology portfolio, including IT Services (All Covered), intelligent information management, managed print services and industrial and commercial print solutions. Konica Minolta has been included on CRN’s MSP 500 list nine times and The World Technology Awards named the company a finalist in the IT Software category. Konica Minolta has been recognized as the #1 Brand for Customer Loyalty in the MFP Office Copier Market by Brand Keys for sixteen consecutive years, and is proud to be ranked on the Forbes 2021 America’s Best-in-State employers list. The company received Keypoint Intelligence’s BLI 2021 A3 Line of The Year Award and BLI 2021-2023 Most Color Consistent A3 Brand Award for its bizhub i-Series. Konica Minolta, Inc. has been named to the Dow Jones Sustainability World Index for nine consecutive years and has spent six years on the Global 100 Most Sustainable Corporations in the World list. Konica Minolta partners with its clients to give shape to ideas and works to bring value to our society. For more information, please visit us online and follow Konica Minolta on Facebook, YouTube, LinkedIn and Twitter.

EOE Statement

Konica Minolta is an equal opportunity and affirmative action employer. We consider all qualified applicants for employment without regard to race, color, religion, creed, national origin, sex, pregnancy, age, sexual orientation, transgender status, gender identity, disability, alienage or citizenship status, marital status or partnership status, genetic information, veteran status or any other characteristic protected under applicable law."
Part-Time Remote Project Data Contributor (No experience needed) – WFH - Anywhere in US,"Position: Project Data ContributorProject Location: USA (Remote)Engagement Model: Task-Based
At DataForce by TransPerfect, we extend a special invitation to individuals who understand the transformative power of their contributions to join our esteemed Photo Collection Project.
Your Impactful ContributionWe believe that your unique perspective, expressed through captivating photos, can play a pivotal role in shaping societal understanding and trends. By participating in our Photo Collection Project, you have the opportunity to make a significant impact on society by sharing images that represent a wide range of hobbies, indoor and outdoor activities.
Task DescriptionYour role is crucial, as you'll be compensated generously for sharing up to 30 photos per category, all taken on the same day. Express your creativity across more than 100 categories, knowing that each image you contribute has the potential to influence and inspire.
RequirementsYour diverse background is valued, and we welcome applicants from all walks of life, whether in Business, Marketing, Photography, Project Management, Administrative Assistance, English Annotation, Software Development, Sales, or Customer Service. No prior experience is necessary. Ensure the quality of your submissions by adhering to the following:Age: 18 years or olderResidence: US-basedDevice: IOS device (iPhone or iPad)Submission Deadline: Photos taken before October 1, 2023Originality: No photos downloaded from the internetAttention to Detail: Ability to follow instructions meticulouslyNo prior experience is necessary CompensationRecognizing the potential impact of your contribution, we offer competitive compensation of 1 USD per accepted photo. Choose from convenient payment methods such as PayPal, Gift Card, or Check, tailored to your preference.*
Connect with UsFor any inquiries or assistance, please feel free to contact us at DataForce.Collection@transperfect.com. We're here to support you in making a meaningful impact on society through your valuable contributions.
About UsDataForce by TransPerfect is proud to be a part of the TransPerfect family, the global leader in language and technology solutions, with a presence in over 100 cities worldwide. Join us in contributing to projects focused on gathering, enriching, and processing data for Machine Learning across various AI domains, ultimately shaping the future of society.
Learn more about DataForce by visiting our website: www.transperfect.com/dataforce"
Development Associate,"ResponsibilitiesCollaborate with other PD teams and Human Resources (HR) departments to ensure clients benefit from a holistic approach to talent development.Conduct research on PD best practices and collaborate with the team to make recommendations.Mitigate risk by following established procedures, spotting key errors, and demonstrating strong ethical behavior.Facilitate in-person and virtual people development sessions.Source, evaluate and recommend vendors to deliver best-in-class talent development solutions.Coordinate with vendor partners and ensure product/service delivery maintains the appropriate quality standards; work to resolve any escalated issues timely.QualificationsMinimum of 5 years of related experienceBachelor's degree preferred or equivalent experienceManages larger projects, multiple projects simultaneously, or a program consisting of similar projects which may span over a longer period; projects may span multiple clients within a business unit.Proactively serve as an internal consultant on PD processes, programs, and initiatives related to organizational development to engage and support stakeholders' business strategies, within area(s) of expertise."
Network Manager - HYBRID,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Chandra Technologies, Inc., is seeking the following. Apply via Dice today!

Job Description:

Corp to Corp Resumes are accepted.

The Network Manager position is responsible for budget oversight, planning and consulting with senior leadership on the strategic direction for the organization and providing technical leadership and management for DHHS IT and data networks.

Primary Purpose Of The Position

Providing technical leadership and management for DHHS IT and customer voice and data networks. This position plans and direct the work of others and manages projects through implementation. The Network Manager is the top-level IT position within the facility. This position is responsible for budget oversight and planning and consulting with senior leadership on the strategic direction for the organization.

The position may be reassigned as necessary to support the department s critical needs and changing priorities. On call, travel, and overtime may be required dependent on client needs.

Knowledge, Skills And Abilities Recommended For This Position

This position requires experience managing a networked environment, a high degree of customer service, teamwork, effective communications, talent development, organizational awareness, business management, and technical leadership. The employee should have experience in networking tools and techniques. The employee must have experience in direct client contact.Provides configuration, installation, testing, security controls, and maintenance of the network infrastructure including switches, routers, firewalls, and wireless access points. This position is also responsible for Windows server configuration, installation, support, advanced level troubleshooting, security feature implementation, data safeguarding, compliance, and system administration.The position oversees the user environment consisting of a myriad of devices including, telephone, cable infrastructure, desktops, laptops, tablets, mobile devices, multifunction devices, camera systems, access control systems and various other computer related systems. These responsibilities include configuring, maintaining, troubleshooting, patching, or migrating end-user devices as appropriate and within security controls.Thorough knowledge of the capabilities of data communications hardware and a variety of computer hardware and software.Thorough knowledge of communications protocols, software, and network architecture.

Responsibilities

Oversee the user environment consisting of a myriad of devices including, telephone, cable infrastructure, desktops, laptops, tablets, mobile devices, multifunction devices, camera systems, access control systems and various other computer related systems. These responsibilities include configuring, maintaining, troubleshooting, patching, or migrating end-user devices as appropriate and within security controls.Plan and direct the work of others and manage projects through implementation.Communicate effectively in oral and written form.Develop and maintain effective working relationships including vendors.Track and communicate operational metrics (including trending over time) and identify process and service improvements opportunities.Participate with data or process owners on projects such as refresh and consolidation strategies that included infrastructure technology updates and rollouts.Ensure that infrastructure (networks, datacenters, servers, and storage) incidents and problems are resolved in a timely and effective manner, and reduce by analyzing root causes, minimizing disruption to business operations, and adhering to SLAs on availability and resolution response times.Align with department/division counterparts to achieve standardized operations and ensure execution of IT policies.

Education And Experience

Bachelor s degree in computer science, computer engineering, information systems management or a related curriculum from an appropriately accredited institution and five years of progressive experience in telecommunications network management, analysis or design, or traffic engineering; or bachelor s degree from an appropriately accredited institution and six years of networking related experience such as network design, analysis or network management; or Associates degree in Electronics or Networking Technology from an appropriately accredited institution and six years of networking related experience; or an equivalent combination of education and experience.

Required Skills:

Thorough knowledge of the capabilities of data communications hardware and a variety of computer hardware and software.

Thorough knowledge of communications protocols, software, and network architecture.

Knowledge of software design and modifications.

Ability to plan and direct the work of others and manage projects through implementation.

Ability to communicate effectively in oral and written form.

Ability to develop and maintain effective working relationships including vendors.

Ability to track and communication operational metrics (including trending over time) and identify process and service improvements opportunities.

Ability to align with department/division counterparts to achieve standardized operations and ensure execution of IT policies.

Network Manager - HYBRID"
CVICU Registered Nurse,"MedPro Healthcare Staffing, a Joint Commission-certified staffing agency, is seeking a quality CVICU Registered Nurse for a travel assignment with one of our top healthcare clients.

Requirements

Active RN LicenseDegree from accredited nursing programBLS & ACLS CertificationsEighteen months of recent experience in an Acute Care CVICU setting

Benefits

Weekly pay and direct depositFull coverage of all credentialing feesPrivate housing or housing allowanceGroup Health insurance for you and your familyCompany-paid life and disability insuranceTravel reimbursement401(k) matchingUnlimited Referral Bonuses up to $1,000

Duties Responsibilities

The Cardiovascular Intensive Care Unit (CVICU) registered nurse (RN) administers medications, checks vital signs and alert the doctors of any major changes in the patient’s condition. A CVICU RN acts as a liaison between the doctors and the patients, looking out for the welfare of each patient and relaying important information to the patient’s family and friends. Responsible for daily care, the CVICU nurse ensures each patient recovers comfortably.

Administer care for patients following open-heart surgery.Responsible for the treatment and care of heart transplant patients.Educate the patient’s family on the ongoing needs and care of the patient.

About Agency

MedPro Healthcare Staffing is a Joint Commission certified provider of contract staffing services. Since 1983, we have placed nursing and allied travelers in top healthcare facilities nationwide. Join us today for your very own MedPro Experience®.

If qualified and interested, please call 954-740-8789 for immediate consideration.

MedPro Staffing is an Equal Opportunity Employer. All applicants will be considered for employment without attention to race, color, religion, national origin, age, sex, disability, marital status or veteran status.

Key Words: Registered Nurse, RN, CVICU, Cardio Vascular ICU, Open Heart ICU, Contract Nurse, Travel Nurse, Agency RN, Travel RN, Nursing, Contract, Cardiovascular ICU

Weekly payment estimates are intended for informational purposes only and include a gross estimate of hourly wages and reimbursements for meal, incidental, and housing expenses. Your recruiter will confirm your eligibility and provide additional details.

nursingcandidates@medprostaffing.com"
Yard Operations,"Description:
Role Statement
Assist customers with yard material. Responsible for loading, unloading and stocking of materials in the lumber yard and in the warehouse. Maintains safe work environment.
Location
This position will be performed onsite at our store. Remote work is not available for this role. 
Outcomes for SuccessGreet customers, ask customer and evaluate invoice for level of assistance required. Direct customer to materials purchased and provide assistance loading in a safe and productive manner.Communicate with the sales and yard team to ensure customer service is prompt and coordinated.Assist customers in loading and unloading materialsCheck materials loaded vs. purchase on a paid invoice to ensure accuracy or materials and quantityMay pull loads for delivery accurately and bundle safely for delivery on our trucksDevelop knowledge of materials, locations and uses. Keeping in mind may product look similar but are different. Proactively learn about the product we sell.Embrace and live by our Core Values in every customer and team interactionEfficiently and safely operate forklifts and light trucks upon receiving proper training, supervisor approval and certificationReport unsafe conditions, product and property damage and incident or accidents immediatelyMay use a radial arm and panel saw to cut materials for customersMay perform other duties as assigned
Wages
Starting wages will be based on years of experience and education.
Benefits
Benefits eligibility will be determined based on employment status and plan rules are subject to changeMedicalDentalVisionCompany paid and voluntary Life + AD&D401k with company matchVacationSick leaveHoliday payEmployer provided PPEOther great employee engagement benefits
Why TAL Building Centers?
Based in Vancouver, Washington, TAL Building Centers is a family-owned company helping to build better communities. At our building centers located throughout the Pacific Northwest, we create a positive experience for our customerspros and homeowners alikeby providing guidance for innovative, smart building solutions. 
Our mission and core values drive everything we do
Our Mission
We Help Build Better Communities 
Our Core Values
We Are the Guide - We help our customers, employees and suppliers succeed through trust and partnership. 
We Are Courteous - We create a positive experience for customers, employees, suppliers, and communities. 
We Are Ambitious - We seek innovative solutions and go the extra mile. 
We Are Accountable - We act with honesty and integrity. 
We Are Safe - We protect our customers, suppliers, and employees by cultivating a safety-first environment. 
So, why TAL? Because we're more than just a job – we're an opportunity to be part of something bigger. Embrace your potential, and together, let's build a brighter future. 
MAM22Requirements:Ability to perform physical requirements of the job1-3 months experience preferredHigh school diploma or GED preferred but not necessary
Physical RequirementsHeavy work: Exerting up to 100 pounds seldom, 50-80 pounds of force occasionally and/or up to 25 pounds of force frequently and/or less than 25 pounds of force constantly to move objects. Heavy work involves standing and/or walking all the time. Occasional stoop and kneel, and seldom crouch or crawlSeldom-occasional climbing-ascending or descending ladders, stairs, scaffolding, ramps, poles and the like, using feet and legs and/or hands and arms. Body agility is emphasized.Balancing-maintaining body equilibrium to prevent falling when walking, standing, crouching or running on narrow, slippery or erratically moving surfaces.See (Detect, identify, observe)Seldom sitting for forklift operation. 
 
PI239176748"
Sales Associate-CROSSROADS PLAZA,"Description

At Bath & Body Works, everyone belongs. We are committed to creating a diverse, equitable and inclusive culture focused on delivering exceptional fragrances and experiences to our customers. We focus on recruiting, retaining, and advancing diverse talent where our associate population is as diverse as the communities we serve, live and work. In addition, we work to improve our communities and our planet in a way that will make us proud for years to come because we believe the world is a brighter, happier place when everyone has access to the things that make them happy.

We invite you to join Gingham Nation, where we invest in our associates through competitive compensation, benefits, and development opportunities, so they can continue to be their best at work, at home, and in their communities.

We’re looking for you to join our team as a sales associate. In this role, you will be the face of Bath & Body Works — understanding our customers’ needs and helping them find the best products for themselves and others. Our associates are dedicated to delivering exceptional and consistent customer experiences that positively impact sales growth in their store, and contribute to a positive, high-energy environment..

Responsibilities

Deliver exceptional in-store shopping experiencesBuild a highly satisfied and loyal customer base through engagement, uncovering needs, making product recommendations, and gathering customer information to support continued engagementSupport product replenishment activities that keep the store full and abundantAssist with floorset execution, window changes, visual presentation and marketing placement as neededMaintain our values, policies and procedures 

Bath & Body works is proud to offer a competitive, performance-based compensation and benefits package to our eligible associates. Benefits include a merchandise discount, a no cost mental health and well-being program, health coverage with a variety of plans to choose from, and flexible and affordable saving programs. We also offer flexible scheduling and opportunities for paid time off. Visit bbwbenefits.com for details.

View Benefits Information

Qualifications

Qualifications & Experience

Thrives in a customer first based retail environment.Demonstrated sales and customer service results in a fast-paced environmentAvailability for varied weekly shifts including weekend, closing and peak periodsEffective communication skills, being open to feedback and the ability to adapt quickly 

Core Competencies

Lead with Curiosity & HumilityBuild High Performing Teams for Today & TomorrowInfluence & Inspire with Vision & PurposeObserve, Engage & ConnectStrive to Achieve Operational ExcellenceDeliver Business Results

The above statements are intended to describe the general nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, duties and skills required.

We will consider for employment all qualified applicants, including those with arrest records, conviction records, or other criminal histories, in a manner consistent with the requirements of any applicable state and local laws. Please see links: Los Angeles Fair Chance In Hiring Ordinance, Philadelphia Fair Chance Law, San Francisco Fair Chance Ordinance.

We are an equal opportunity and affirmative action employer. We do not make employment decisions based on an individual’s race, color, religion, gender, gender identity, national origin, citizenship, age, disability, sexual orientation, marital status, pregnancy, genetic information, protected veteran status or any other legally protected status, and we comply with all laws concerning nondiscriminatory employment practices. We are committed to providing reasonable accommodations for associates and job applicants with disabilities. Our management team is dedicated to ensuring fulfillment of this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, associate activities and general treatment during employment. We only hire individuals authorized for employment in the United States.

Application window will close when all role(s) are filled."
FuSA (Functional Safety),"Job Title: FuSA (Functional Safety)Work Location: Lisle, Illinois. (Day 1 Onsite)Job Description-FuSAThis position is part of Functional Safety team which manages the full Functional Safety development lifecycle for all ECU applications including Base Software, Conventional and Electrified Powertrain, Electrification, ADAS systems, Body – Cab Controls, and Chassis Controls.
ResponsibilitiesCentral point of contact for all functional safety queries for assigned projects.Provide expertise in safety regulations and standards.Develop, execute and monitor the execution of functional safety plans. Develop documentation and reports.Work collaboratively with cross-functional teams to develop functional safety concepts and technical requirements. Apply understanding of Advanced Control Systems, Embedded Software, Electronics (Sensors and Actuators).Provide guidance to hardware and software teams in implementing functional safety requirements and processes.Conduct and contribute to hazard and risk analyses.Plan and support safety validation activities, such as fault injection testing.Analyze and review functional safety requirements, concepts and test results for vendor supplied systems.Support internal and external assessments and audits.
 Minimum RequirementsBachelor’s degree in engineering, Engineering Technology or Computer ScienceAt least 12 years of experience in product design/development or new technologies and/or computer science experienceAt least 2 years of experience leading new technologies or specialized technologies
 Desired SkillsExperience in one or more parts of the Automotive Functional Safety Lifecycle including but not limited to Functional Safety Management, Concept Development, Product Development, Verification or Production.Experience with applying Functional Safety to one or more automotive domains such as conventional or electrified propulsion, steering, braking, lighting, HVAC, ADAS, base software. Strong familiarity with ISO 26262 required. Exposure to ISO 21448 is a plus.Experience with diagnostics development is a plus.Experience with Functional Safety development tools such as Medini.Experience with requirements management tools such as Polarion, DOORS, JAMAStrong CAN and J1939 and/or ISO 14229 UDS experienceExperience with Matlab, Simulink, MS Visio, INCA, Software configuration management tools.Experience with Software programming language such as C/C++, embedded software development and testing tools (Canalyzer, HILs, etc.)Experience with engineering and quality design and development methodologies: (8D, FMEA, DVP&R). Six Sigma certifications are a plus.Strong interpersonal skills with ability to communicate effectively and establish good working relationships across departments.
“Tech Mahindra is an Equal Employment Opportunity employer. We promote and support a diverse workforce at all levels of the company. All qualified applicants will receive consideration for employment without regard to race, religion, color, sex, age, national origin, or disability. All applicants will be evaluated solely on the basis of their ability, competence, and performance of the essential functions of their positions with or without reasonable accommodations. Reasonable accommodations also are available in the hiring process for applicants with disabilities. Candidates can request a reasonable accommodation by contacting the company ADA Coordinator at ADA_Accomodations@TechMahindra.com.”
Regards,Rohit Kumar Sen Senior Business Associate (Central Sourcing Team) Contact +1 424-326-5852Email: RS00818686@techmahindra.comNSEZ, Noida | India"
Customer Service Representative,"BEST. JOB. EVER! 

 Minimal weekday hours required (join for weekends only!)  Generous Team Member discount  $400 bonus for every referral hired with NO LIMIT*  Competitive hourly pay rates & team bonus  Get Paid Early!  Additional terms and conditions apply.

At David’s Bridal, we empower our customers and our employees to stay true to their dreams and find the one, whether that means the wedding dress that matches a personal style—or the career that is a perfect fit.  Join  a company that dominates the products in their category – 1 out of 3 being sold by them and taking care of them with one of the highest customer service scores in retail!

We make dreams happen—apply today! 

The Customer Service Representative (CSR) is responsible for interacting with all customers, maintaining a friendly, positive, authentic, empathetic, and professional approach, to deliver a consistent Five-Star Customer Service Experience. The CSR reports to the Store Manager, in partnership with the Operations Supervisor/Manager. The CSR supports the welcome desk, cash wrap, systems/processes, inventory management, and daily routines to ensure the store is foundationally excellent and that the customer has an exceptional shopping experience.

Essential Job Functions

 Welcome all customers with genuine, and friendly enthusiasm over the phone, virtual chats and in person, communicate clearly and concisely by adapting your style to suit the customers by problem solving, excellent phone skills and resolving conflict.  Use all systems to manage the customer flow to deliver Five-Star Customer Service experience.  Maintain all service vows which include Being Prepared, Welcoming, ability to Meet the Needs & Be There for all customers, including all operational checklist task and meeting customers emotional and practical needs.  Responsible for providing an exceptional service experience to multiple customers at one time and contribute to the store achievement of Five-Star Customer Service.  Proactively address customer concerns with confidence. Know when to escalate and partner with leadership team.  Communicate how alterations can play an important role in perfecting the dress for her event in partnership with Alterations.  Promote all alteration services and personalization options.  Maintain store-standards to support a flawless shopping experience.  Maintain a high standard of dress to meet the Dress Code policy.  Respond promptly to all customer questions providing product and service information.  Build and maintain long-term relationships to meet and exceed customer satisfaction and loyalty.  Engage in the inventory management procedures by processing orders, receiving, and ensuring first quality standards for all merchandise.  Support all cash wrap behaviors and processes transactions with accuracy to make every customer feels celebrated.  Assist with all sales promotions and visual updates.  Other duties as assigned. 

Physical Demands

 While performing the duties of this job, the employee is occasionally required to stand, walk, and sit for extended periods of time; reach for tools and objects with hands and arms; climb stairs; stoop, kneel, crouch, or crawl; and talk to and hear customers . The employee must occasionally lift to 25 pounds. The employee must be able to see up close and at a distance, as well as use peripheral vision and depth perception, and be able to look at, read, and use a computer, electronic devices, and phones for long periods of time. 

Education & Credentials

 High school diploma or an equivalent degree or 1 -2 years prior retail experience in an apparel, service, or specialty store environment. 

 Now that we’ve popped the question, please say “I do”. 

Part Time Benefits Include –

 Rewarding Environment and Competitive Pay  Team Bonus  Dayforce Wallet – Get Paid Early!  Generous Team Member Discount After First Pay Period  Vision Care  Supplemental Insurances- Critical Illness, Hospital Indemnity and Accidental Injury  401K Program  Discount for Identity Theft Protection  Discounts for Home and Auto Insurance  Discounts for Mobile  Legal Benefits (MetLife Hyatt Legal Plans)  Pet Insurance 

 Love wins when love is for Everyone! 

Our mission at David’s Bridal is to embrace the ideas of Diversity, Equity, and Inclusion. It is our goal to build a workforce that is as representative as the customers we serve. We vow to create a culture where all forms of diversity are celebrated and seen as valuable.

Disclaimer The preceding job description has been designed to highlight the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive description of all duties, responsibilities and qualifications required of employees assigned to this job. Actual duties and responsibilities will vary."
Account Executive,"Since 2003, Goosehead Insurance has been disrupting the insurance industry by giving clients the power of choice, utilizing a smarter marketing approach, and delivering world class service. This is all powered by our focus on hiring and retaining extraordinary people. Our clients trust us with their most valuable possessions so, we’re more than just a bit selective when it comes to hiring new team members. In 2012, we began franchising our business model. This role is for one of our successful franchise partners in Mesa, AZ.
Principal Duties and Responsibilities:
The primary responsibility of an Account Executive is to build a book of business through:Prospecting and establishing referral partner relationships with professionals from the real estate and mortgage industry.Work with clients to understand their insurance needs, analyze options with a large carrier portfolio, and provide a custom solution to mitigate household risk.
The team is responsible for new business revenue generation monthly and works to achieve these on an individual and team level. Account Executives are equipped with extensive training in salesforce.com, sales process management, business development and more.
Compensation Summary:
The first year’s earnings potential ranges from $53,000 - $90,000, varying based on performance. Our compensation package slightly varies by agency but offers uncapped new business commissions and renewal commissions year-over-year. Renewal commissions provide passive earnings and can exponentially increase your annualized income. Additionally, top performers can qualify for an annual President’s Cub trip.
Benefits Summary:
High quality voluntary health, vision, dental insurance programsPaid holidays, vacation, and sick leaveBenefit offerings vary per agency*
Experience and Education:
Passing the state licensing exam, once hiredLegally authorized to work the United States
Preferred Skills, Abilities, Soft Skill Factors:
Exceptional written and verbal communicationExperience in a fast-paced work environmentB2B or B2C sales experience or related college majorCompetitive attitudeNetworking abilitiesEntrepreneurial spiritProblem-solving mentalitySelf-motivated, hands on, self-starter mindset that can do the workStrong time managementStrong attention to detail and organization
Equal Employment Opportunity:
Goosehead is an equal opportunity employer and complies with all applicable federal, state, and local laws, rules, guidelines, and regulations. Goosehead strictly prohibits and does not tolerate unlawful discrimination against employees, applicants, or any other covered person because of race, color, religion, creed, national origin, ancestry, ethnicity, sex (including pregnancy, childbirth, and related medical conditions), sexual orientation, gender, gender identity, transgender status, age, physical or mental disability, veteran status, uniformed service, genetic information, or any other characteristic protected by applicable law. All applicants for employment and all Goosehead employees are given equal consideration based solely on job-related factors, such as qualifications, experience, performance, and availability."
Unarmed Security - Building Post Commander,"Job Description

GardaWorld –

Security Services

Unarmed Security Officer Post Commander – Now Hiring!

You’ve got the right skills. What you need is the right opportunity to unleash your potential. We agree, and we’re hiring!

Every day is different at GardaWorld with diverse work assignments and flexible schedules. We are leaders in Professional training programs that cover every aspect of delivering world class security services. And every industry counts on us because we’re the very best at what we do. Perhaps you are, too.

In our complex world today, GardaWorld stands out as the largest privately owned security services company in the world. We’re experts at protecting people and assets. We’re also growing everywhere and expanding in multiple locations. If you’re a sharp, talented, self-confident individual who excels in customer service, you can build a future here. We give you all the tools you need to expand your skills and grow your career with exceptional opportunities for advancement. You can stand out – and thrive – here, too, as a armed security officer.

At GardaWorld, we know your compensation is important so we provide competitive hourly starting rates for every market we’re in. We're growing our team here in Los Angeles, CA.

Compensation: $25.00

Shift: Monday - Friday

8:00AM - 4:00PM

 Must have account manager experienceMust have overseen over 30-40 security guards at a timeMust have scheduling experience

About The Job

Excellent customer service is always your top priority.You observe, survey the area and provide reporting on activity at your assigned location.You provide rapid response in critical situations.You’re good with reading and writing detailed reports.You know when and how to enforce customer procedures, regulations and standards.

Your Background

You have a high school education or equivalent (GED)You’re able to ace (and pass) an extensive screening processIf you have Security, Military, Law Enforcement experience – even better!You have a license and meet any additional requirements to carry a firearm as a security officer in your state.You have a state security license if required.

If you want a real career opportunity where you’re part of a dynamic supportive team that’s dedicated to your success, check us out. We’re a global organization that embraces our cultural diversity and we promote engagement, communication, and sharing ideas across all our teams. At GardaWorld, you’ll have plenty of room to grow - and that’s just for starters. Explore your future with us today.

Work today, get paid today, with DailyPay!

GardaWorld offers DailyPay - a voluntary benefit that allows you to access your pay on day 1 of work.

Role

If you’re hired for a role at GardaWorld, you’ll never have to wait for a paycheck again! DailyPay’s most used features include:

PAY: Get instant access to your money as you earn itSAVE: Automatically save a portion of every paycheckBALANCE ALERTS: Track your real-time earnings & budget for upcoming bills or expenses

Qualifications

Education"
